road_id,rainfall_mm,flood_level,elevation_m,road_type,historical_blockages,traffic_density,disaster_intensity,distance_to_waterbody_km,road_condition,blockage_probability,blocked
R00001,112.36,0.499,594.54,Rural Road,1,471.8,0.73,1.29,0.568,0.4553,0
R00002,285.21,0.6654,705.48,Highway,2,842.6,0.1845,0.4,0.6238,0.4726,0
R00003,219.6,0.6445,373.23,Main Road,3,972.8,0.3466,0.52,0.7541,0.8149,1
R00004,179.6,0.7035,234.9,Rural Road,4,10.7,0.6633,0.75,0.6748,0.937,1
R00005,46.81,0.458,258.48,Local Road,4,1543.7,0.4821,0.85,0.839,0.6448,1
R00006,46.8,0.3624,559.07,Bridge,8,34.5,0.7386,1.02,0.7737,0.6305,1
R00007,17.43,0.4819,456.21,Main Road,3,455.3,0.9612,1.08,0.8102,0.6092,0
R00008,259.85,0.4682,391.76,Highway,19,488.8,0.1165,2.18,0.8905,0.8884,1
R00009,180.33,0.599,166.21,Highway,1,1604.2,0.7096,2.54,0.5629,0.8462,0
R00010,212.42,0.4426,700.99,Bridge,7,636.7,0.2303,1.34,0.7782,0.6547,0
R00011,6.18,0.169,625.91,Local Road,4,54.9,0.4145,8.37,0.6007,0.2794,0
R00012,290.97,0.6489,116.81,Main Road,7,329,0.0329,2.87,0.7311,0.7893,1
R00013,249.73,0.3699,297.07,Local Road,0,1678.5,0.1359,5.47,0.8431,0.322,1
R00014,63.7,0.1176,436,Rural Road,2,1019.1,0.3198,9.08,0.8707,0.1712,0
R00015,54.55,0.436,366.2,Local Road,3,1377,0.342,0.67,0.6368,0.4516,1
R00016,55.02,0.5472,321.25,Main Road,4,354.5,0.8996,2,0.73,0.759,1
R00017,91.27,0.4613,576.47,Rural Road,11,1278.8,0.7418,2.04,0.8298,0.8046,1
R00018,157.43,0.6751,48.33,Main Road,7,602,0.9722,1.58,0.667,0.9616,1
R00019,129.58,0.5887,379.77,Local Road,3,351.6,0.5991,0.08,0.9081,0.5097,0
R00020,87.37,0.3325,213.43,Rural Road,4,471.7,0.2417,5.97,0.5939,0.2518,0
R00021,183.56,0.7442,72.27,Highway,2,1340.8,0.3277,0.46,0.7468,0.8655,0
R00022,41.85,0.0975,374.59,Local Road,3,1818.3,0.3198,18.95,0.7567,0.2102,0
R00023,87.64,0.3531,141.24,Highway,6,1901.2,0.3265,5.24,0.8896,0.5402,1
R00024,109.91,0.6072,210.29,Highway,6,773.9,0.673,3.09,0.7129,0.8277,1
R00025,136.82,0.5519,408.07,Bridge,0,48.9,0.5308,0.64,0.5445,0.4369,0
R00026,235.55,0.4766,779.1,Local Road,5,797,0.3854,2.59,0.589,0.5323,1
R00027,59.9,0.3507,548.98,Bridge,1,1507.7,0.1491,1.11,0.6471,0.2364,0
R00028,154.27,0.4746,227.3,Rural Road,1,1829.2,0.0221,1.07,0.582,0.4917,0
R00029,177.72,0.4315,309.01,Bridge,1,1325.3,0.2188,6.24,0.6937,0.4394,0
R00030,13.94,0.3802,327.88,Bridge,3,199.9,0.1075,1.73,0.6829,0.2034,0
R00031,182.26,0.5568,127.14,Rural Road,3,18.3,0.7854,2.15,0.8045,0.8956,1
R00032,51.16,0.1874,132.72,Rural Road,0,537.8,0.1125,6.53,0.6522,0.1084,0
R00033,19.52,0.6207,122.97,Rural Road,2,521.5,0.7242,0.37,0.8251,0.7628,1
R00034,284.67,0.6126,419.72,Bridge,4,458.3,0.3857,3.21,0.8282,0.9174,1
R00035,289.69,0.5283,540.98,Bridge,3,1764.9,0.0734,3.07,0.3043,0.7686,0
R00036,242.52,0.7,474.62,Bridge,3,1451.2,0.8127,1.99,0.568,0.9812,1
R00037,91.38,0.2736,782.32,Local Road,14,113.3,0.5796,6.25,0.736,0.7245,0
R00038,29.3,0.2398,105.07,Rural Road,2,1945.8,0.2358,10.07,0.9215,0.1706,0
R00039,205.27,0.5551,789.25,Local Road,2,742.4,0.8947,2.24,0.8661,0.6814,0
R00040,132.05,0.3713,376.01,Local Road,2,1971.9,0.0453,2.18,0.7449,0.2704,1
R00041,36.61,0.3198,178.81,Rural Road,10,1813.8,0.2018,2.49,0.8948,0.4493,1
R00042,148.55,0.3847,754.91,Rural Road,1,1152.5,0.752,4.54,0.6711,0.4414,0
R00043,10.32,0.3399,377.55,Rural Road,8,1962.9,0.7094,3.91,0.7592,0.8983,0
R00044,272.8,0.7046,281.14,Rural Road,4,1928.8,0.2893,0.93,0.855,0.8609,0
R00045,77.63,0.3928,174.98,Local Road,5,246.2,0.062,0.28,0.4522,0.1099,0
R00046,198.76,0.5129,217.96,Local Road,9,311.4,0.8581,10.48,0.885,0.8897,1
R00047,93.51,0.3862,783.48,Main Road,3,435.8,0.3137,1.11,0.4421,0.3388,1
R00048,156.02,0.4865,246.66,Local Road,1,1906.4,0.1957,3.61,0.7805,0.6066,0
R00049,164.01,0.3262,782.36,Bridge,1,1499,0.5161,6.22,0.9449,0.3631,1
R00050,55.46,0.5484,267.52,Rural Road,3,1647.4,0.9102,1.3,0.8393,0.8473,0
R00051,290.88,0.5425,188.98,Main Road,0,588.3,0.0435,3.58,0.8701,0.6263,0
R00052,232.54,0.8701,150.77,Local Road,7,1051.6,0.7658,0.45,0.951,0.9879,1
R00053,281.85,0.4761,332.42,Main Road,9,1396.3,0.5725,12.31,0.8105,0.9075,1
R00054,268.45,0.7446,193.26,Main Road,7,624.5,0.4254,0.26,0.8748,0.9666,1
R00055,179.37,0.5157,559.07,Local Road,14,1631.1,0.7441,2.07,0.9265,0.9376,1
R00056,276.56,0.7522,195.62,Main Road,16,1744,0.9658,2.74,0.7,0.9955,1
R00057,26.55,0.075,669.14,Local Road,6,1021.2,0.2292,5.52,0.6616,0.1595,0
R00058,58.79,0.4489,668.04,Local Road,5,940.5,0.1436,0.5,0.6656,0.2744,0
R00059,13.57,0.4775,231.99,Main Road,1,648.4,0.9129,2.08,0.539,0.7455,1
R00060,97.6,0.5126,604.06,Rural Road,3,98.4,0.669,1.3,0.8741,0.5316,1
R00061,116.6,0.5437,686.75,Rural Road,2,965.3,0.438,1.36,0.9441,0.3696,0
R00062,81.4,0.3059,474.16,Rural Road,4,51.9,0.5733,5.33,0.8702,0.4814,0
R00063,248.62,0.8708,296.23,Rural Road,6,93.3,0.7456,0.07,0.8742,0.9894,1
R00064,107.03,0.4529,355.57,Main Road,16,1256.9,0.773,4.89,0.8515,0.9724,1
R00065,84.28,0.4406,630.05,Local Road,3,554.6,0.9199,5.87,0.8213,0.5846,1
R00066,162.81,0.4322,238.19,Bridge,2,1611.9,0.4268,8.16,0.3716,0.5575,1
R00067,42.28,0.2715,270.9,Rural Road,9,152.7,0.2934,3.5,0.4717,0.4386,1
R00068,240.66,0.7369,132.82,Local Road,3,1948.5,0.6397,1.47,0.7608,0.9682,1
R00069,22.37,0.3187,322.25,Rural Road,1,873.1,0.4157,2,0.6347,0.3915,0
R00070,296.07,0.579,73.78,Highway,4,1718.7,0.5946,12.29,0.7455,0.9492,1
R00071,231.67,0.4768,260.22,Main Road,8,434.1,0.42,7.51,0.6856,0.7687,1
R00072,59.61,0.3222,301.92,Local Road,0,896.2,0.153,2.23,0.6336,0.1927,1
R00073,1.66,0.1698,208.11,Local Road,3,1838.9,0.4694,10.08,0.796,0.482,0
R00074,244.64,0.4812,85.58,Rural Road,1,138.1,0.6909,6.11,0.8966,0.7378,1
